id,category_id,name,blueprint_path,
0001,dino,Quetzal,/Game/PrimalEarth/Dinos/Quetzalcoatlus/Quetz_Character_BP.Quetz_Character_BP,
0002,dino,Hyaenodon,/Game/PrimalEarth/Dinos/Hyaenodon/Hyaenodon_Character_BP.Hyaenodon_Character_BP,
0003,dino,Plesiosaur,/Game/PrimalEarth/Dinos/Plesiosaur/Plesiosaur_Character_BP.Plesiosaur_Character_BP,
0004,dino,Chalicotherium,/Game/PrimalEarth/Dinos/Chalicotherium/Chalico_Character_BP.Chalico_Character_BP,
0005,dino,Rubble Golem,/Game/ScorchedEarth/Dinos/RockGolem/RubbleGolem_Character_BP.RubbleGolem_Character_BP,
0006,dino,Kaprosuchus,/Game/PrimalEarth/Dinos/Kaprosuchus/Kaprosuchus_Character_BP.Kaprosuchus_Character_BP,
0007,dino,Gallimimus,/Game/PrimalEarth/Dinos/Gallimimus/Galli_Character_BP.Galli_Character_BP,
0008,dino,Reaper King,/Game/Aberration/Dinos/Nameless/Xenomorph_Character_BP_Male_Tamed.Xenomorph_Character_BP_Male_Tamed,
0009,dino,Dinopithecus,/Game/LostIsland/Dinos/Dinopithecus/Dinopithecus_Character_BP.Dinopithecus_Character_BP,
0010,dino,Lightning Wyvern,/Game/ScorchedEarth/Dinos/Wyvern/Wyvern_Character_BP_Lightning.Wyvern_Character_BP_Lightning,
0011,dino,Stegosaurus,/Game/PrimalEarth/Dinos/Stego/Stego_Character_BP.Stego_Character_BP,
0012,dino,Maeguana,/Game/ASA/Dinos/Maelizard/Maelizard_Character_BP.Maelizard_Character_BP,Astraeos
0013,dino,Yeti,/Game/PrimalEarth/Dinos/Bigfoot/Yeti_Character_BP.Yeti_Character_BP,
0014,dino,Skeletal Rex,/Game/PrimalEarth/Dinos/Rex/Bone_MegaRex_Character_BP.Bone_MegaRex_Character_BP,
0015,dino,Skeletal Carnotaurus,/Game/PrimalEarth/Dinos/Carno/Bone_MegaCarno_Character_BP.Bone_MegaCarno_Character_BP,
0016,dino,Broodmother Lysrix (Gamma),/Game/PrimalEarth/Dinos/Spider-Large/SpiderL_Character_BP_Easy.SpiderL_Character_BP_Easy,
0017,dino,Manticore (Beta),/Game/ScorchedEarth/Dinos/Manticore/Manticore_Character_BP_Medium.Manticore_Character_BP_Medium,
0018,dino,Skeletal Raptor,/Game/PrimalEarth/Dinos/Raptor/Bone_MegaRaptor_Character_BP.Bone_MegaRaptor_Character_BP,
0019,dino,Aberrant Diplocaulus,/Game/PrimalEarth/Dinos/Diplocaulus/Diplocaulus_Character_BP_Aberrant.Diplocaulus_Character_BP_Aberrant,
0020,dino,Ammonite,/Game/PrimalEarth/Dinos/Ammonite/Ammonite_Character.Ammonite_Character,
0021,dino,Thylacoleo,/Game/PrimalEarth/Dinos/Thylacoleo/Thylacoleo_Character_BP.Thylacoleo_Character_BP,
